"name"	"taxRank"	"taxID"	"Max"	"metaphlan_results.txt.cladeReads"	"lineage"
"Actinomycetaceae"	"F"	"2049"	3.0393	3.03934	"Bacteria>Actinobacteria>Actinobacteria>Actinomycetales"
"Corynebacteriaceae"	"F"	"1653"	1.5813	1.58129	"Bacteria>Actinobacteria>Actinobacteria>Corynebacteriales"
"Propionibacteriaceae"	"F"	"31957"	3.4547	3.45469	"Bacteria>Actinobacteria>Actinobacteria>Propionibacteriales"
"Atopobiaceae"	"F"	"1643824"	2.4174	2.41739	"Bacteria>Actinobacteria>Coriobacteriia>Coriobacteriales"
"Bacteroidetes unclassified"	"F"	""	2.9891	2.98908	"Bacteria>Bacteroidetes>Bacteroidetes&nbsp;unclassified>Bacteroidetes&nbsp;unclassified"
"Porphyromonadaceae"	"F"	"171551"	1.0607	1.06069	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales"
"Prevotellaceae"	"F"	"171552"	2.1372	2.13723	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales"
"Tannerellaceae"	"F"	"2005525"	2.2169	2.21687	"Bacteria>Bacteroidetes>Bacteroidia>Bacteroidales"
"Flavobacteriaceae"	"F"	"49546"	10.092	10.092	"Bacteria>Bacteroidetes>Flavobacteriia>Flavobacteriales"
"Weeksellaceae"	"F"	"2762318"	2.0022	2.00221	"Bacteria>Bacteroidetes>Flavobacteriia>Flavobacteriales"
"Candidatus Absconditabacteria unclassified"	"F"	""	2.6951	2.69507	"Bacteria>Candidatus&nbsp;Absconditabacteria>Candidatus&nbsp;Absconditabacteria&nbsp;unclassified>Candidatus&nbsp;Absconditabacteria&nbsp;unclassified"
"Candidatus Gracilibacteria unclassified"	"F"	""	1.4114	1.41137	"Bacteria>Candidatus&nbsp;Gracilibacteria>Candidatus&nbsp;Gracilibacteria&nbsp;unclassified>Candidatus&nbsp;Gracilibacteria&nbsp;unclassified"
"Candidatus Nanoperiomorbaceae"	"F"	"2171987"	1.5532	1.5532	"Bacteria>Candidatus&nbsp;Saccharibacteria>Candidatus&nbsp;Nanoperiomorbia>Candidatus&nbsp;Nanoperiomorbales"
"Candidatus Saccharibacteria unclassified"	"F"	""	4.229	4.22905	"Bacteria>Candidatus&nbsp;Saccharibacteria>Candidatus&nbsp;Saccharibacteria&nbsp;unclassified>Candidatus&nbsp;Saccharibacteria&nbsp;unclassified"
"Candidatus Sacchiramonaceaea"	"F"	"2171986"	2.1814	2.18145	"Bacteria>Candidatus&nbsp;Saccharibacteria>Candidatus&nbsp;Saccharimonia>Candidatus&nbsp;Saccharimonales"
"Anaerolineaceae"	"F"	"292628"	1.3976	1.39756	"Bacteria>Chloroflexi>Anaerolineae>Anaerolineales"
"Aerococcaceae"	"F"	"186827"	3.2915	3.29146	"Bacteria>Firmicutes>Bacilli>Lactobacillales"
"Carnobacteriaceae"	"F"	"186828"	1.3575	1.35754	"Bacteria>Firmicutes>Bacilli>Lactobacillales"
"Streptococcaceae"	"F"	"1300"	4.7362	4.73616	"Bacteria>Firmicutes>Bacilli>Lactobacillales"
"FGB1394"	"F"	""	3.3889	3.38892	"Bacteria>Firmicutes>CFGB1394>OFGB1394"
"FGB16518"	"F"	""	1.5531	1.55313	"Bacteria>Firmicutes>CFGB16518>OFGB16518"
"Clostridiales Family XIII Incertae Sedis"	"F"	"543314"	3.5973	3.59728	"Bacteria>Firmicutes>Clostridia>Clostridiales"
"Lachnospiraceae"	"F"	"186803"	4.0207	4.02073	"Bacteria>Firmicutes>Clostridia>Clostridiales"
"Peptostreptococcaceae"	"F"	"186804"	2.5893	2.58933	"Bacteria>Firmicutes>Clostridia>Clostridiales"
"Peptoniphilaceae"	"F"	"1570339"	1.9766	1.97655	"Bacteria>Firmicutes>Tissierellia>Tissierellales"
"Fusobacteriaceae"	"F"	"203492"	1.6569	1.65691	"Bacteria>Fusobacteria>Fusobacteriia>Fusobacteriales"
"Leptotrichiaceae"	"F"	"1129771"	3.7807	3.78066	"Bacteria>Fusobacteria>Fusobacteriia>Fusobacteriales"
"Burkholderiaceae"	"F"	"119060"	1.6675	1.66747	"Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales"
"Neisseriaceae"	"F"	"481"	6.4514	6.45145	"Bacteria>Proteobacteria>Betaproteobacteria>Neisseriales"
"Desulfobulbaceae"	"F"	"213121"	1.4714	1.47135	"Bacteria>Proteobacteria>Deltaproteobacteria>Desulfobacterales"
"Pasteurellaceae"	"F"	"712"	2.3357	2.33566	"Bacteria>Proteobacteria>Gammaproteobacteria>Pasteurellales"
"Spirochaetaceae"	"F"	"137"	2.6442	2.64425	"Bacteria>Spirochaetes>Spirochaetia>Spirochaetales"
"Synergistaceae"	"F"	"649777"	2.2351	2.23514	"Bacteria>Synergistetes>Synergistia>Synergistales"
